,Unnamed: 0,shoptitle,prices,areaa,links,front,street_width,age
117,117,محل للإيجار في حي ، طريق الخرج ، حي الدار البيضاء ، الرياض ، الرياض,"90,000 ريال",300 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الدار-البيضاء/حي-طريق-الخرج-حي-الدار-البيضاء-الرياض-الرياض-3765892,شرق,30 م, 15 سنة
118,118,محل للإيجار في شارع وادي حبان ، حي العزيزية ، الرياض ، الرياض,"25,000 ريال",60 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-وادي-حبان-حي-العزيزية-الرياض-الرياض-3554987,جنوب غربي,40 م, 8 سنة
119,119,محل للإيجار في شارع نهاوند ، حي العزيزية ، الرياض ، الرياض,"18,000 ريال",48 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-نهاوند-حي-العزيزية-الرياض-الرياض-3269574,شمال,40 م, 10 سنة
120,120,محل للإيجار في شارع المثنى بن حارثة ، حي الشفا ، الرياض ، الرياض,"31,000 ريال",50 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-الشفا/شارع-المثنى-بن-حارثة-حي-الشفا-الرياض-الرياض-3719019,شرق,,
121,121,محل للإيجار في موقف النقل الجماعي بالرياض ، حي العزيزية ، الرياض ، الرياض,"40,000 ريال",52 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/موقف-النقل-الجماعي-بالرياض-حي-العزيزية-الرياض-الرياض-3589979,شمال,20 م, 22 سنة
122,122,محل للإيجار في شارع فتح مكة ، حي بدر ، الرياض ، الرياض,"150,000 ريال",150 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-فتح-مكة-حي-بدر-الرياض-الرياض-3569692,جنوب,60 م, 5 سنة
123,123,محل للإيجار في شارع وادي الشرف ، حي بدر ، الرياض ، الرياض,"150,000 ريال",60 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-وادي-الشرف-حي-بدر-الرياض-الرياض-3633618,جنوب,20 م, 6 سنة
124,124,محل للإيجار في شارع النماص ، حي العزيزية ، الرياض ، الرياض,"350,000 ريال",600 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/شارع-النماص-حي-العزيزية-الرياض-الرياض-3620420,شمال شرقي,50 م, 12 سنة
125,125,محل للإيجار في حي بدر ، الرياض ، الرياض,"10,000 ريال",85 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/حي-بدر-الرياض-الرياض-3698947,جنوب,40 م, 25 سنة
126,126,محل للإيجار في شارع الابطال ، حي بدر ، الرياض ، الرياض,"35,000 ريال",55 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-بدر/شارع-الابطال-حي-بدر-الرياض-الرياض-3726078,شمال,40 م, 10 سنة
127,127,محل للإيجار في شارع الفرسان ، حي عكاظ ، الرياض ، الرياض,"60,000 ريال",60 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-عكاظ/شارع-الفرسان-حي-عكاظ-الرياض-الرياض-3542071,شرق,30 م,جديد
128,128,محل للإيجار في طريق الخرج ، حي العزيزية ، الرياض ، الرياض,"200,000 ريال",500 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-العزيزية/طريق-الخرج-حي-العزيزية-الرياض-الرياض-3544089,شرق,,
129,129,محل للإيجار في حي طيبة ، الرياض ، الرياض,"55,000 ريال",90 م²,/محلات-للإيجار/الرياض/جنوب-الرياض/حي-طيبة/حي-طيبة-الرياض-الرياض-3561834,شمال شرقي,60 م,جديد
